Station Name,Zipcode,Latitude,Longitude
SFO Business Center,94128,37.61589,-122.39549
Bldg 710,94128,37.62477,-122.40046
SFO Long Term Parking Garage,94128,37.63655,-122.40055
SFO Lot D,94128,37.63178,-122.399045
SFO Lot C,94128,37.615336,-122.395662
SFO West Field,94128,37.62289,-122.395127
345 CAL EVCS 345 CAL EVCS,94104,37.793016,-122.400546
Second Street Fund,94105,37.7862909,-122.3914178
Chan Zuckerberg Biohub,94158,37.7658385,-122.3877002
150 Van Ness,94102,37.7772738,-122.4192281
Greenwich Street Properties,94109,37.8007726,-122.4205045
Plant Construction,94126,37.7426395,-122.3856749
55 Hawthorne St. - EV ONLY,94105,37.78536931,-122.3985583
2860 16th St,94103,37.76549,-122.41673
CCSF-SFMTA LOMBARD 1,94123,37.799704,-122.435
CCSF-SFMTA NORTH BEACH 2,94133,37.798256,-122.409634
CCSF-SFMTA NORTH BEACH 1,94133,37.798398,-122.409523
CCSF-SFMTA NORTH BEACH 3,94133,37.798256,-122.409677
CCSF-SFMTA MISSION ST 4,94103,37.783289,-122.405472
CCSF-SFMTA MISSION ST 5,94103,37.783351,-122.405308
CCSF-SFMTA MISSION ST 3,94103,37.783383,-122.405271
CCSF-SFMTA MISSION ST 7,94103,37.783396,-122.40531
CCSF-SFMTA MISSION ST 2,94103,37.783374,-122.405354
CCSF-SFMTA GGG 1,94111,37.795406,-122.399002
CCSF-SFMTA MOSCONE CTR 4,94103,37.78453,-122.399567
CCSF-SFMTA MOSCONE CTR 2,94103,37.78452,-122.39953
CCSF-SFMTA MOSCONE CTR 1,94103,37.784473,-122.399528
CCSF-SFMTA PORTSMOUTH SQ 2,94108,37.794774,-122.405266
CCSF-SFMTA JAPAN CTR 2,94115,37.784992,-122.430086
CCSF-SFMTA SUTTER 3,94108,37.790056,-122.406469
CCSF-SFMTA SUTTER 4,94108,37.789886,-122.406898
CCSF-SFMTA SUTTER 2,94108,37.790018,-122.406504
CCSF-SFMTA UNION SQUARE 4,94108,37.787949,-122.40751
CCSF-SFMTA UNION SQUARE 1,94102,37.787927,-122.407477
CCSF-SFMTA UNION SQUARE 3,94108,37.787929,-122.40753
CCSF-SFMTA CIVIC CTR 1,94102,37.780157,-122.417363
CCSF-SFMTA GGG 3,94111,37.793393,-122.396773
CCSF-SFMTA MISSION ST 6,94103,37.783397,-122.405242
CCSF-SFMTA POLK BUSH 1,94109,37.788519,-122.41999
CCSF-SFMTA PORTSMOUTH SQ 1,94108,37.794678,-122.405164
CCSF-SFMTA MOSCONE CTR 3,94105,37.784686,-122.399373
CCSF-SFMTA SFGH 1,94110,37.755681,-122.405087
CCSF-SFMTA SFGH 2,94110,37.755619,-122.405065
CCSF-SFMTA CIVIC CTR 2,94102,37.780157,-122.417495
CCSF-SFMTA CIVIC CTR 3,94102,37.780116,-122.41741
CCSF-SFMTA PAG 3,94102,37.778265,-122.422501
CCSF-SFMTA PAG 1,94102,37.777783,-122.422554
CCSF-SFMTA PAG 4,94102,37.778299,-122.422501
CCSF-SFMTA ST MARYS 1,94108,37.792048,-122.404583
CCSF-SFMTA ST MARYS 2,94108,37.792098,-122.404698
CCSF-SFMTA ST MARYS 3,94108,37.791703,-122.404562
1199 E Beach Street (US-TL7-QXE-3),94129,37.80610329,-122.4494378
1199 E Beach Street (US-TL7-QXE-4),94129,37.80610329,-122.4494378
680 Point Lobos Ave (US-6ZD-X6E-1),94121,37.7801861,-122.5117904
680 Point Lobos Ave (US-6ZD-X6E-2),94121,37.78497,-122.50557
CCSF-SFMTA PAG 2,94102,37.778303,-122.422485
983 Marine Dr (US-KYA-CW3-1),94129,37.8080383,-122.4709806
983 Marine Dr (US-KYA-CW3-2),94129,37.8080384,-122.4709806
Lincoln Blvd (US-EZR-58X-2),94129,37.807143,-122.4725058
Lincoln Blvd (US-EZR-58X-1),94129,37.8071345,-122.4724722
Safeway San Francisco #0785 - 850 La Playa,94121,37.77158,-122.50907
CCSF-SFMTA GGG 2,94111,37.795447,-122.399051
The Summit 999,94133,37.79849,-122.41516
560 MISSION LEVEL2-2,94105,37.78883,-122.399549
560 MISSION LEVEL2-1,94105,37.788864,-122.399549
303 SECOND ST. KILROY DCFC 4,94107,37.785597,-122.396305
303 SECOND ST. KILROY DCFC 3,94107,37.785522,-122.396019
CCSF-SFMTA MISSION ST 1,94103,37.783409,-122.405268
MICHAEL STATION 1,94109,37.787641,-122.420268
CHASE CENTER P2 AREA C1,94158,37.769101,-122.386445
CHASE CENTER STATION 2,94158,37.769092,-122.386616
CHASE CENTER P2 AREA C6,94158,37.769084,-122.386531
CHASE CENTER P2 AREA C13,94158,37.769109,-122.386595
CHASE CENTER GSWCC-STATION3,94158,37.769118,-122.386509
CHASE CENTER P2 AREA C9,94158,37.769084,-122.386509
CHASE CENTER GSWCC-STATION13,94158,37.769092,-122.386466
CHASE CENTER GSWCC-STATION11,94158,37.769126,-122.386498
CHASE CENTER STATION 15,94158,37.769109,-122.386541
CHASE CENTER STATION 17,94158,37.769118,-122.386531
CHASE CENTER P2 AREA C8,94158,37.769084,-122.386552
CHASE CENTER STATION 20,94158,37.769118,-122.386573
CHASE CENTER GSWCC-STATION1,94158,37.769126,-122.386509
CHASE CENTER GSWCC-STATION10,94158,37.769135,-122.386563
HILLS PLAZA HP EV 2,94105,37.789776,-122.389882
HILLS PLAZA HP EV 1,94105,37.789815,-122.389885
ACE Parking,94103,37.7783901,-122.412238
VENUE 2,94158,37.773308,-122.391181
VENUE 1,94158,37.773302,-122.391227
SFSTATE LOT 02 20,94132,37.721019,-122.475978
SFSTATE LOT 02 21,94132,37.721041,-122.476185
CCSF-SFMTA SUTTER 6,94108,37.789824,-122.40682
Columbia REIT - Parking Garage 650 California St,94108,37.79317662,-122.4052732
La Galleria Residences,94109,37.78969,-122.41255
Potrero Center,94103,37.7658228,-122.409502
Kissing St Garage,94103,37.7719898,-122.4152867
Volvo San Francisco,94103,37.7720226,-122.4159858
Metro Cruise Services,94111,37.805419,-122.401927
501 SECOND 501 SECOND ST,94107,37.783127,-122.393015
Market Square,94103,37.77712,-122.41647
Chargie - 11667,94115,37.78465,-122.43997
Three Embarcadero Center 2,94111,37.7951389,-122.3973611
Ridge Reef Properties - Parking Lot,94110,37.7475747,-122.418267
GARAGE 1,94111,37.794932,-122.40364
GARAGE 2,94111,37.794934,-122.403639
Hotel Whitcomb - Tesla Destination,94103,37.77805,-122.41507
Hyatt Regency SOMA - Tesla Destination,94103,37.786604,-122.403161
Holiday Inn Express & Suites San Francisco Fishermans Wharf - Tesla Destination,94133,37.806633,-122.416436
Luma Hotel - Tesla Destination,94158,37.77466,-122.3902
Galleria Park Hotel - Tesla Destination,94104,37.789651,-122.403558
CHASE CENTER GSWCC-STATION2,94158,37.769143,-122.386498
CHASE CENTER GOLDEN ST 40,94158,37.769109,-122.386531
CHASE CENTER GSWCC-STATION6,94158,37.769135,-122.386573
CHASE CENTER GOLDEN ST 5,94158,37.76905,-122.38652
CHASE CENTER GSWCC-STATION12,94158,37.769101,-122.386488
CHASE CENTER GSWCC-STATION5,94158,37.769152,-122.386531
CHASE CENTER GSWCC-STATION4,94158,37.769143,-122.38652
CHASE CENTER WARRIOR 1,94158,37.769109,-122.386509
CHASE CENTER GSWCC-STATION9,94158,37.769126,-122.386563
CHASE CENTER GOLDEN ST 10,94158,37.769084,-122.386734
CHASE CENTER GOLDENGW5,94158,37.769092,-122.386627
CHASE CENTER GSWCC-STATION8,94158,37.769135,-122.386531
CHASE CENTER GSWCC-STATION7,94158,37.769135,-122.386498
CHASE CENTER BBOPS AREA B 2,94158,37.768649,-122.387034
CHASE CENTER BBOPS AREA B 5,94158,37.768744,-122.387128
CHASE CENTER BBOPS AREA B7,94158,37.768763,-122.387486
CHASE CENTER BBOPS AREA B10,94158,37.768701,-122.387506
CHASE CENTER BBOPS AREA B6,94158,37.768742,-122.387201
CHASE CENTER BBOPS AREA B9,94158,37.769128,-122.38652
Google,94103,37.7735873,-122.4005342
